k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg,mpc_iteration
0.0000000000000000e+00,0.0000000000000000e+00,nan,8.7266462599716474e-02,8.7266462599716474e-02,5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2501662875683853e-18,3.2501662875683853e-18,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3577871373829083e-02,-4.9809734904587277e-01,8.7155742747658166e-02,-9.9619469809174555e-01,4.3194695232095226e+00,2.4748737341529164e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.7500000000000000e+02,-1.7500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000001e-01,3.6870474180548038e+00,-3.5733730067016506e-01,1.1292376753130828e+00,-2.0473919190997780e+01,6.4700552862604042e+01,-4.4460376326988149e-01,1.0419712127133665e+00,-2.5473919190997780e+01,5.9700552862604042e+01,9.5775656855023398e-14,1.6642997998597701e-14,9.5775640255743479e-14,1.6643009395726740e-14,6.7723604502134549e-14,1.1768364061026659e-14,6.7945649107059580e-14,1.1546319456101628e-14,0.0000000000000000e+00,0.0000000000000000e+00,-1.7489048778443367e-01,-4.6841575259861068e-01,2.7715284887120423e-01,-6.8209032241270351e-01,3.4353530282718632e+00,1.9683122965746435e+02,1.1328620897695818e+00,6.4908216514167634e+01,1.5952608080900220e+02,-1.1529944713739597e+02,-2.5473919190997773e+01,5.9700552862604034e+01,0.0000000000000000e+00
2.0000000000000000e+00,2.0000000000000001e-01,-3.2250159557773732e+00,-5.8366788928273206e-01,2.1682302292088553e+00,-3.3441706693209561e+01,1.2423044114635053e+02,-2.2633058861256702e-01,1.0389925538957725e+00,-1.2967787502211781e+01,5.9529888283746480e+01,9.5461681983495393e-14,1.8841445226777477e-14,4.7107415046674881e-16,2.1981724579492097e-15,6.7279515292284486e-14,1.3322676295501878e-14,2.2204460492503131e-16,1.5543122344752192e-15,0.0000000000000000e+00,0.0000000000000000e+00,-2.7554414795494947e-01,-4.1722346833295570e-01,1.3784676387031802e-01,-1.3596210585976792e-01,2.7368619820977584e+00,1.5681064068401062e+02,1.0633583884996489e+00,6.0925947770862415e+01,1.4655829330679043e+02,-5.5769558853649478e+01,-1.2967787502211783e+01,5.9529888283746473e+01,1.0000000000000000e+00
3.0000000000000000e+00,3.0000000000000004e-01,4.5525127393572093e+00,-3.4658841672725960e-01,3.0896870260112697e+00,-1.9858053506593357e+01,1.7702602660677275e+02,2.3707947255547260e-01,9.2145679680241388e-01,1.3583653186616210e+01,5.2795585460422203e+01,9.6717936793655396e-14,1.3975562913840888e-14,1.5701340425091362e-15,4.9465671780786961e-15,6.8389738316909643e-14,9.9920072216264089e-15,1.1102230246251565e-15,3.4416913763379853e-15,0.0000000000000000e+00,0.0000000000000000e+00,-1.6984553498163488e-01,-4.7026853418743875e-01,-1.4390437327589992e-01,2.9058068477947896e-02,2.7954861613418576e+00,1.6016955873211595e+02,9.5146692253622001e-01,5.4515039007626243e+01,1.6014194649340664e+02,-2.9739733932272454e+00,1.3583653186616209e+01,5.2795585460422181e+01,2.0000000000000000e+00
4.0000000000000000e+00,4.0000000000000002e-01,-8.7213320107577275e+00,2.0913465974869477e-01,-3.1312502971655580e+00,1.1982533353504708e+01,-1.7940742662667131e+02,5.5572307647595431e-01,6.2247984002758765e-02,3.1840586860098064e+01,3.5665467665559416e+00,8.7140431292494389e-14,2.5593637209370519e-14,9.4206135165716539e-15,1.1776740852043549e-14,6.1728400169158704e-14,1.8207657603852567e-14,6.6613381477509392e-15,8.2156503822261584e-15,0.0000000000000000e+00,0.0000000000000000e+00,1.0380674619268845e-01,-4.8910546863113968e-01,9.8635660168685454e-02,1.0867790523119869e-02,2.9324762317841491e+00,1.6801851160365911e+02,5.5919848823142138e-01,3.2039713285756477e+01,-1.6801746664649528e+02,5.9257337332870963e-01,3.1840586860098071e+01,3.5665467665559296e+00,3.0000000000000000e+00
5.0000000000000000e+00,5.0000000000000000e-01,2.0510971398265521e+00,7.9124603719578335e-01,-2.8141075438037313e+00,4.5335058487769736e+01,-1.6123648535588023e+02,5.8211137744708852e-01,3.1714275336182690e-01,3.3352525134265022e+01,1.8170941270791083e+01,8.7454323347136569e-14,2.5594153642132059e-14,1.3933371238877051e-17,2.9616111169545147e-17,6.1950444774083735e-14,1.7985612998927536e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5561486909189127e-01,-3.5147982144179635e-01,1.9478346232260579e-01,1.2194732036210637e-01,2.3730519830645007e+00,1.3596586319474639e+02,6.6289756506059605e-01,3.7981232727471053e+01,-1.3466494151223026e+02,1.8763514644119780e+01,3.3352525134265022e+01,1.8170941270791072e+01,4.0000000000000000e+00
6.0000000000000000e+00,6.0000000000000009e-01,5.2214523513083808e+00,1.7817399373407761e+00,-1.7669099930251198e+00,1.0208617859953021e+02,-1.0123648537982909e+02,9.9049390014499283e-01,1.0471975507786118e+00,5.6751120111760486e+01,5.9999999976051171e+01,7.2695454691157825e-14,4.3962816124321501e-14,1.4758869668082350e-14,1.8213077606484049e-14,5.1292303737682232e-14,3.1086244689504383e-14,1.0436096431476471e-14,1.2656542480726785e-14,0.0000000000000000e+00,0.0000000000000000e+00,4.8891688718684945e-01,1.0469134359402171e-01,-1.4987478003066768e-03,2.0212083071237030e-01,1.9336369429515454e+00,1.1078923594170229e+02,1.4414232121695427e+00,8.2587466549504995e+01,-7.7913821400469786e+01,7.8763514620170895e+01,5.6751120111760500e+01,5.9999999976051171e+01,5.0000000000000000e+00
7.0000000000000000e+00,7.0000000000000007e-01,-2.1912835349501161e+00,2.5482802633016872e+00,-1.8572592317720888e+00,1.4600570410367283e+02,-1.0641311544225026e+02,7.6654032596091148e-01,-9.0349238746969096e-02,4.3919525504142641e+01,-5.1766300624211752e+00,7.2538512229605403e-14,4.3648744720461769e-14,3.3028244742781689e-17,1.5723546923345121e-16,5.1292303737682232e-14,3.0864200084579352e-14,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,2.7955518277044672e-01,4.1454661955705552e-01,-2.0006947687345106e-01,5.5582714143277334e-01,1.4147550780496811e+00,8.1059495016948105e+01,7.7184652377685647e-01,4.4223548244257820e+01,-3.3994295896327159e+01,7.3586884557749755e+01,4.3919525504142648e+01,-5.1766300624211752e+00,6.0000000000000000e+00
8.0000000000000000e+00,8.0000000000000004e-01,-7.1338506033178231e+00,2.8618455350600422e+00,-2.8262733608744348e+00,1.6397167077729929e+02,-1.6193353532835977e+02,3.1356527175835475e-01,-9.6901412910234586e-01,1.7965966673626433e+01,-5.5520419886109494e+01,7.2538480502042839e-14,4.4433904351865358e-14,1.3591913581274422e-17,9.4218400320395790e-16,5.1292303737682232e-14,3.1530333899354446e-14,1.1102230246251565e-16,6.6613381477509392e-16,0.0000000000000000e+00,0.0000000000000000e+00,1.3805630330906715e-01,4.8056264640173069e-01,-1.7003715584663570e-02,9.5591135055550858e-01,4.2152663816680946e-01,2.4151697319296346e+01,1.0184849346224363e+00,5.8354888251523171e+01,-1.6028329222700712e+01,1.8066464671640233e+01,1.7965966673626422e+01,-5.5520419886109494e+01,7.0000000000000000e+00
9.0000000000000000e+00,9.0000000000000002e-01,-2.7804806315223223e+00,-3.0611695247915875e+00,2.7518699825699993e+00,-1.7539209414462579e+02,1.5767053577000038e+02,3.6017024732795644e-01,-7.0504196373515271e-01,2.0636235078074918e+01,-4.0395928901639891e+01,9.8005176688024230e-13,1.6376081133702510e-13,9.0751344114343767e-13,1.1932702686653538e-13,6.9300121197102271e-13,1.1568523916594131e-13,6.4170890823334048e-13,8.4154905266586866e-14,0.0000000000000000e+00,0.0000000000000000e+00,-4.0168231155370840e-02,4.9838390143126482e-01,1.4979771705447481e-01,9.6089113220796762e-01,3.9793421560918235e-01,2.2799951078255074e+01,7.9171129693076980e-01,4.5361715906961834e+01,4.6079058553742076e+00,-2.2329464229999626e+01,2.0636235078074918e+01,-4.0395928901639884e+01,8.0000000000000000e+00
1.0000000000000000e+01,1.0000000000000000e+00,5.6074529118360656e+00,3.0887998719811289e+00,3.1251907991797983e+00,1.7697519642506768e+02,1.7906024296611926e+02,-1.3321591040686986e-01,3.7332081660979893e-01,-7.6327094303065444e+00,2.1389707196118881e+01,9.8036579523375844e-13,1.6391772959486857e-13,6.2803712107002550e-16,3.1547334294100832e-16,6.9344530118087278e-13,1.1590728377086634e-13,4.4408920985006262e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,2.6384131047143985e-02,4.9930339236669236e-01,3.4584690553716144e-02,9.9923613866741146e-01,5.5281991806254406e-02,3.1674248135751761e+00,3.9637723307442663e-01,2.2710742550237992e+01,-3.0248035749323305e+00,-9.3975703388074272e-01,-7.6327094303065381e+00,2.1389707196118884e+01,9.0000000000000000e+00
1.1000000000000000e+01,1.1000000000000001e+00,-1.6314587487770686e+00,3.1093837873475580e+00,3.1220323171593978e+00,1.7815456790141855e+02,1.7887927527668236e+02,2.0583915366429187e-02,-3.1584820204002234e-03,1.1793714763508738e+00,-1.8096768943688599e-01,9.8130784807118218e-13,1.6438883278523250e-13,9.4205611233282093e-16,3.1401851319883062e-16,6.9388939039072284e-13,1.1635137298071641e-13,6.6613381477509392e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,1.6101648779362012e-02,4.9974066965435787e-01,2.5881193346742874e-02,9.9964502101374997e-01,3.7683123886966180e-02,2.1590839575917800e+00,2.0824830863310918e-02,1.1931749175414941e+00,-1.8454320985814607e+00,-1.1207247233176432e+00,1.1793714763508698e+00,-1.8096768943687508e-01,1.0000000000000000e+01
